sig_date,code,name,tag,regime,layers,in_top5,in_wide,buy_date,buy,g20,g60,g120,maxgain,peak_off,peak_date,dd_off,maxdd,post_peak_dd,r10,end_ret,dip_first
2008-06-02,600089,特变电工,光伏,BEARISH,all,False,False,2008-06-03,4.671,0.67,0.67,19.27,19.27,116,2008-12-02,11,-32.04,-6.95,-30.14,16.85,True
2008-06-02,600111,北方稀土,有色金属,BEARISH,"all,none",False,False,2008-06-03,4.11,1.92,6.03,6.03,6.03,30,2008-07-15,106,-71.54,-73.16,-28.12,-64.35,False
2008-06-02,600276,恒瑞医药,创新药/医药,BEARISH,"all,none",True,False,2008-06-03,2.982,1.66,1.66,1.66,1.66,1,2008-06-03,99,-24.36,-25.59,-8.48,-16.27,False
2008-06-02,600549,厦门钨业,电池/有色金属,BEARISH,"all,none",True,False,2008-06-03,6.089,0.74,2.81,2.81,2.81,41,2008-07-30,13,-37.68,-38.58,-31.4,-33.05,True
2008-06-02,601898,中煤能源,煤炭,BEARISH,"all,none",False,False,2008-06-03,13.215,0.44,0.44,0.44,0.44,1,2008-06-03,98,-70.57,-70.7,-21.55,-67.56,False
2008-06-10,600276,恒瑞医药,创新药/医药,CRASH,"all,none",True,False,2008-06-11,2.625,8.45,15.47,15.47,15.47,51,2008-08-20,94,-14.06,-25.57,-4.79,0.0,False
2008-06-17,002050,三花智控,电池/家电,CRASH,"all,none",True,False,2008-06-18,1.32,11.54,15.31,15.31,15.31,29,2008-07-28,94,-51.2,-57.68,-9.99,-30.02,False
2008-06-17,600089,特变电工,光伏,CRASH,all,False,False,2008-06-18,3.213,38.57,44.11,85.23,85.23,117,2008-12-17,1,-1.2,-6.59,11.91,78.11,True
2008-06-17,600276,恒瑞医药,创新药/医药,CRASH,"all,none",True,False,2008-06-18,2.684,6.64,12.92,12.92,12.92,46,2008-08-20,89,-15.96,-25.57,-1.93,2.7,False
2008-06-17,601898,中煤能源,煤炭,CRASH,"all,none",False,False,2008-06-18,10.366,8.91,8.91,8.91,8.91,2,2008-06-19,88,-62.49,-65.56,-3.34,-50.85,False
2008-06-17,601899,紫金矿业,有色金属/上证50,CRASH,"all,none",False,False,2008-06-18,2.974,21.92,21.92,21.92,21.92,19,2008-07-15,88,-59.84,-67.06,3.41,-35.83,False
2008-06-24,000657,中钨高新,有色金属,BEARISH,"all,none",False,False,2008-06-25,2.365,28.99,28.99,28.99,28.99,13,2008-07-11,58,-54.62,-64.82,12.37,11.02,False
2008-06-24,002050,三花智控,电池/家电,BEARISH,"all,none",True,False,2008-06-25,1.234,19.32,23.35,23.35,23.35,24,2008-07-28,89,-47.79,-57.68,6.85,-12.99,False
2008-06-24,002179,中航光电,军工,BEARISH,"all,none",False,False,2008-06-25,1.225,12.33,15.06,15.06,15.06,26,2008-07-30,88,-51.2,-57.59,7.63,-1.12,False
2008-06-24,600030,中信证券,证券,BEARISH,"all,none",False,False,2008-06-25,12.535,5.89,5.89,5.89,5.89,2,2008-06-26,61,-39.3,-42.67,-3.4,-16.4,False
2008-06-24,600276,恒瑞医药,创新药/医药,BEARISH,"all,none",True,False,2008-06-25,2.492,20.18,21.64,21.64,21.64,41,2008-08-20,84,-9.47,-25.57,13.42,15.85,False
2008-06-24,600549,厦门钨业,电池/有色金属,BEARISH,"all,none",True,False,2008-06-25,4.092,30.86,53.0,53.0,53.0,26,2008-07-30,83,-6.03,-38.58,15.37,13.65,False
2008-06-24,601898,中煤能源,煤炭,BEARISH,"all,none",False,False,2008-06-25,10.392,5.56,5.56,5.56,5.56,2,2008-06-26,84,-62.58,-64.55,-6.67,-53.44,False
2008-06-24,601899,紫金矿业,有色金属/上证50,BEARISH,"all,none",False,False,2008-06-25,2.998,20.96,20.96,20.96,20.96,15,2008-07-15,84,-60.16,-67.06,8.59,-36.07,False
2008-07-01,002050,三花智控,电池/家电,CRASH,"all,none",True,False,2008-07-02,1.207,26.1,26.1,26.1,26.1,19,2008-07-28,84,-46.63,-57.68,15.3,-16.61,False
2008-07-01,002179,中航光电,军工,CRASH,"all,none",False,False,2008-07-02,1.154,21.55,22.07,22.07,22.07,21,2008-07-30,83,-48.23,-57.59,9.29,6.84,False
2008-07-01,002230,科大讯飞,计算机/机器人,CRASH,"all,none",True,False,2008-07-02,2.237,18.2,18.2,18.2,18.2,9,2008-07-14,67,-57.07,-63.68,12.67,-22.37,False
2008-07-01,600089,特变电工,光伏,CRASH,all,False,False,2008-07-02,3.514,31.78,31.78,69.37,69.37,108,2008-12-17,51,-5.2,-9.06,21.78,62.25,True
2008-07-01,600111,北方稀土,有色金属,CRASH,"all,none",False,False,2008-07-02,3.516,23.93,23.93,23.93,23.93,10,2008-07-15,86,-66.74,-73.16,11.84,-55.37,False
2008-07-01,600276,恒瑞医药,创新药/医药,CRASH,"all,none",True,False,2008-07-02,2.625,14.09,15.47,16.85,16.85,117,2008-12-19,79,-14.06,-8.87,5.38,8.54,True
2008-07-01,600487,亨通光电,通信,CRASH,"all,none",False,False,2008-07-02,1.45,22.12,22.12,22.12,22.12,7,2008-07-10,78,-43.41,-53.66,4.75,-8.32,False
2008-07-01,600549,厦门钨业,电池/有色金属,CRASH,"all,none",True,False,2008-07-02,4.147,47.68,50.96,50.96,50.96,21,2008-07-30,78,-7.28,-38.58,22.81,0.61,False
2008-07-01,601898,中煤能源,煤炭,CRASH,"all,none",False,False,2008-07-02,10.347,1.43,1.43,1.43,1.43,1,2008-07-02,79,-62.42,-62.95,-9.1,-57.52,False
2008-07-01,601899,紫金矿业,有色金属/上证50,CRASH,"all,none",False,False,2008-07-02,3.025,19.87,19.87,19.87,19.87,10,2008-07-15,79,-60.52,-67.06,11.87,-40.26,False
2008-07-08,002050,三花智控,电池/家电,BEARISH,"all,none",True,False,2008-07-09,1.318,15.45,15.45,15.45,15.45,14,2008-07-28,79,-51.14,-57.68,7.72,-18.32,False
2008-07-08,002179,中航光电,军工,BEARISH,"all,none",False,False,2008-07-09,1.31,7.6,7.6,10.09,10.09,119,2008-12-30,78,-54.37,-10.06,0.72,0.92,True
2008-07-08,002230,科大讯飞,计算机/机器人,BEARISH,"all,none",True,False,2008-07-09,2.419,9.28,9.28,9.28,9.28,4,2008-07-14,62,-60.31,-63.68,0.52,-26.04,False
2008-07-08,600030,中信证券,证券,BEARISH,"all,none",False,False,2008-07-09,12.343,3.26,3.26,3.26,3.26,1,2008-07-09,51,-38.35,-40.3,-4.93,-25.0,False
2008-07-08,600089,特变电工,光伏,BEARISH,all,False,False,2008-07-09,4.252,8.88,8.88,39.95,39.95,103,2008-12-17,46,-21.67,-11.08,7.24,24.61,True
2008-07-08,600111,北方稀土,有色金属,BEARISH,"all,none",False,False,2008-07-09,3.776,15.38,15.38,15.38,15.38,5,2008-07-15,81,-69.03,-73.16,6.29,-58.72,False
2008-07-08,600276,恒瑞医药,创新药/医药,BEARISH,"all,none",True,False,2008-07-09,2.807,6.93,7.98,9.28,9.28,112,2008-12-19,74,-19.63,-10.08,3.48,2.77,True
2008-07-08,600487,亨通光电,通信,BEARISH,"all,none",False,False,2008-07-09,1.689,4.87,4.87,4.87,4.87,2,2008-07-10,73,-51.41,-53.66,-2.51,-9.89,False
